date,series,female.line,n.female,female.age,male.line,n.male,male.age,mate.time1,mate.time2,mate.time3,mate.time4,mate.time5,n.mate.1hr,n.mate.2hr,ratio.1hr,ratio.2hr
8=17,29,Z30,5,7,208,10,5,NA,NA,NA,NA,NA,,0,0,0
,,,,,,,,,,,,,0,0,0,0
,,,,,sumsq,,,,,,,,,,0,0
8024,49,Z30,5,6,217,10,3,NA,NA,NA,NA,NA,,0,0,0
3-Aug,24,Z30,5,6,217,10,7,NA,NA,NA,NA,NA,,0,0,0
7-Aug,3,Z30,5,6,217,10,6,NA,NA,NA,NA,NA,,0,0,0
14-Aug,3,Z30,5,8,217,9,4,NA,NA,NA,NA,NA,,0,0,0
,,,,,,,,,,,,,0,0,0,0
,,,,,sumsq,,,,,,,,,,0,0
8024,50,Z30,5,6,223,10,3,NA,NA,NA,NA,NA,,0,0,0
3-Aug,25,Z30,5,6,223,10,7,NA,NA,NA,NA,NA,,0,0,0
7-Aug,4,Z30,5,6,223,10,6,NA,NA,NA,NA,NA,,0,0,0
14-Aug,4,Z30,5,8,223,10,4,NA,NA,NA,NA,NA,,0,0,0
,,,,,,,,,,,,,0,0,0,0
,,,,,sumsq,,,,,,,,,,0,0
8024,51,Z30,5,6,227,10,3,NA,NA,NA,NA,NA,,0,0,0
3-Aug,26,Z30,5,6,227,10,7,58.14915254,NA,NA,NA,NA,1,1,0.2,0.2
7-Aug,5,Z30,5,6,227,10,6,NA,NA,NA,NA,NA,,0,0,0
14-Aug,5,Z30,5,8,227,10,4,119.1949153,NA,NA,NA,NA,,1,0,0.2
,,,,,,,,,,,,,1,2,0.05,0.1
,,,,,sumsq,,,,,,,,,,0.04,0.08
8024,52,Z30,5,6,228,10,3,NA,NA,NA,NA,NA,,0,0,0
3-Aug,27,Z30,5,6,228,10,7,NA,NA,NA,NA,NA,,0,0,0
7-Aug,6,Z30,5,6,228,10,6,NA,NA,NA,NA,NA,,0,0,0
14-Aug,6,Z30,5,8,228,10,4,96.2019774,NA,NA,NA,NA,,1,0,0.2
,,,,,,,,,,,,,0,1,0,0.05
,,,,,sumsq,,,,,,,,,,0,0.04
8024,53,Z30,5,6,229,10,3,NA,NA,NA,NA,NA,,0,0,0
3-Aug,28,Z30,5,6,229,10,7,NA,NA,NA,NA,NA,,0,0,0
7-Aug,7,Z30,5,6,229,10,6,NA,NA,NA,NA,NA,,0,0,0
14-Aug,7,Z30,5,8,229,10,4,106.0423729,NA,NA,NA,NA,,1,0,0.2
,,,,,,,,,,,,,0,1,0,0.05
,,,,,sumsq,,,,,,,,,,0,0.04
8024,54,Z30,5,6,233,10,3,NA,NA,NA,NA,NA,,0,0,0
3-Aug,29,Z30,5,6,233,10,7,NA,NA,NA,NA,NA,,0,0,0
7-Aug,8,Z30,5,6,233,10,6,NA,NA,NA,NA,NA,,0,0,0
14-Aug,8,Z30,5,8,233,10,4,NA,NA,NA,NA,NA,,0,0,0
,,,,,,,,,,,,,0,0,0,0
,,,,,sumsq,,,,,,,,,,0,0
8024,55,Z30,5,6,235,10,3,NA,NA,NA,NA,NA,,0,0,0
3-Aug,30,Z30,5,6,235,9,7,NA,NA,NA,NA,NA,,0,0,0
14-Aug,9,Z30,5,8,235,10,4,NA,NA,NA,NA,NA,,0,0,0
,,,,,,,,,,,,,0,0,0,0
,,,,,,,,,,,,,,,0,0
8024,56,Z30,5,6,237,10,3,115.360119,NA,NA,NA,NA,,1,0,0.2
3-Aug,31,Z30,5,6,237,10,7,NA,NA,NA,NA,NA,,0,0,0
14-Aug,10,Z30,5,8,237,10,4,NA,NA,NA,NA,NA,,0,0,0
,,,,,,,,,,,,,0,1,0,0.066666667
,,,,,,,,,,,,,,,0,0.04
8024,57,Z30,5,6,239,10,3,NA,NA,NA,NA,NA,,0,0,0
3-Aug,32,Z30,5,6,239,10,7,NA,NA,NA,NA,NA,,0,0,0
14-Aug,11,Z30,5,8,239,10,4,NA,NA,NA,NA,NA,,0,0,0
,,,,,,,,,,,,,0,0,0,0
,,,,,,,,,,,,,,,0,0
8031,1,Z30,5,6,256,10,4,108.1666667,NA,NA,NA,NA,,1,0,0.2
3-Aug,33,Z30,5,6,256,10,7,16.69491525,NA,NA,NA,NA,1,1,0.2,0.2
14-Aug,12,Z30,5,8,256,10,4,NA,NA,NA,NA,NA,,0,0,0
,,,,,,,,,,,,,1,2,0.066666667,0.133333333
,,,,,,,,,,,,,,,0.04,0.08
8031,3,Z30,5,6,280,10,4,NA,NA,NA,NA,NA,,0,0,0
3-Aug,35,Z30,5,6,280,10,7,NA,NA,NA,NA,NA,,0,0,0
14-Aug,14,Z30,5,8,280,10,4,NA,NA,NA,NA,NA,,0,0,0
,,,,,,,,,,,,,0,0,0,0
,,,,,,,,,,,,,,,0,0
8031,4,Z30,5,6,287,10,4,NA,NA,NA,NA,NA,,0,0,0
3-Aug,36,Z30,5,6,287,10,7,NA,NA,NA,NA,NA,,0,0,0
14-Aug,15,Z30,5,8,287,10,4,NA,NA,NA,NA,NA,,0,0,0
,,,,,,,,,,,,,0,0,0,0
,,,,,,,,,,,,,,,0,0
10-Aug,2,Z30,5,7,301,10,5,57.09858757,NA,NA,NA,NA,1,1,0.2,0.2
18-Aug,1,Z30,4,10,301,10,5,110,112,NA,NA,NA,,2,0,0.5
19-Aug,1,Z30,5,11,301,10,6,98,100,NA,NA,NA,,2,0,0.4
21-Aug,1,Z30,5,12,301,10,6,43.33333333,114,NA,NA,NA,1,2,0.2,0.4
24-Aug,3,Z30,5,14,301,10,8,NA,NA,NA,NA,NA,,0,0,0
8=01,2,Z30,5,17,301,10,4,78.35847458,NA,NA,NA,NA,,1,0,0.2
8=05,1,Z30,5,15,301,10,4,NA,NA,NA,NA,NA,,0,0,0
8=15,5,Z30,5,11,301,9,7,44.40451977,NA,NA,NA,NA,1,1,0.2,0.2
8=22,1,Z30,5,7,301,10,5,NA,NA,NA,NA,NA,,0,0,0
9101,1,Z30,5,17,301,10,8,NA,NA,NA,NA,NA,,0,0,0
,,,,,,,,,,,,,3,9,0.06122449,0.183673469
,,,,,sumsq,,,,,,,,,,0.12,0.69
7-Aug,10,Z30,5,6,303,10,6,NA,NA,NA,NA,NA,,0,0,0
